gene,token_id,norm,dist_from_centroid,cos_to_centroid,norm_zscore,dist_zscore,cos_zscore,is_outlier,pca_1,pca_2,isolation_score,isolation_zscore,anomaly_score
FGF1,5649,27.50965,27.512884,-0.00842634,-0.2667222,-0.26038384,-0.493792,False,0.19886835,-0.035952356,0.86900586,-0.93718886,0.93718886
FGF10,5650,27.709679,27.703661,0.028615925,0.02523932,0.018097293,0.5557093,False,0.9685594,-0.21813257,0.8802946,1.827146,1.827146
FGF11,5651,27.917719,27.908094,0.04303209,0.32889345,0.3165133,0.96415585,False,-0.30121005,-0.41122222,0.88066214,1.917143,1.917143
FGF12,5652,27.220467,27.22626,-0.018630913,-0.6888113,-0.67877656,-0.7829134,False,-1.5172541,-1.9297231,0.8773211,1.0990112,1.0990112
FGF13,5653,28.790861,28.783659,0.03319222,1.603326,1.5945942,0.68536735,False,-0.9781093,-1.0734711,0.8768957,0.9948418,1.603326
FGF14,5654,27.555006,27.548687,0.029848313,-0.2005198,-0.20812164,0.590626,False,-0.49009043,-0.6091269,0.87201387,-0.20060308,0.590626
FGF16,5655,27.958723,27.94762,0.048948683,0.38874286,0.37421024,1.1317879,False,-0.13149276,0.057739366,0.87670535,0.9482232,1.1317879
FGF17,5656,28.11104,28.123337,-0.044849202,0.61106384,0.6307073,-1.5257441,False,0.05321477,0.37059212,0.8718325,-0.24501774,1.5257441
FGF18,5657,28.06338,28.0537,0.043230817,0.54149836,0.52905625,0.9697862,False,-1.607323,-0.009690929,0.87661916,0.9271178,0.9697862
FGF19,5658,26.958984,26.971567,-0.045806,-1.070469,-1.0505562,-1.5528525,False,1.3690144,-0.862061,0.8775611,1.1577734,1.5528525
FGF2,5659,27.684906,27.685253,0.0031123587,-0.010918665,-0.00877301,-0.1668714,False,-0.39939898,0.6308755,0.877075,1.0387456,1.0387456
FGF20,5660,29.683596,29.684519,0.0005060086,2.9063554,2.909599,-0.2407159,False,1.7151523,1.0334711,0.87691003,0.9983448,2.909599
FGF21,5661,27.366959,27.369656,-0.006253844,-0.47499254,-0.4694577,-0.43223968,False,-0.8488507,1.8664215,0.87958825,1.6541727,1.6541727
FGF22,5662,28.591064,28.59378,-0.0065131807,1.3117042,1.3174244,-0.43958735,False,-1.7057014,0.84164757,0.8745986,0.43233874,1.3174244
FGF23,5663,27.126839,27.119986,0.032056056,-0.82547,-0.83390653,0.6531769,False,1.6769141,0.882681,0.874115,0.31390938,0.83390653
FGF3,5664,27.51284,27.508064,0.023671545,-0.26206467,-0.26741952,0.4156225,False,0.23700745,1.2772887,0.8737523,0.22509463,0.4156225
FGF4,5665,27.860321,27.847998,0.053848013,0.24511595,0.22878875,1.2705984,False,-0.33253375,-1.0086627,0.87037516,-0.6018822,1.2705984
FGF5,5666,28.87596,28.865282,0.047098212,1.7275349,1.7137412,1.0793594,False,-0.8164165,-2.658099,0.8752035,0.5804557,1.7275349
FGF6,5667,27.083445,27.074156,0.041820325,-0.8888077,-0.90080523,0.92982346,False,-0.20380232,-3.6892223,0.8749059,0.5075795,0.92982346
FGF7,5668,27.07919,27.076797,0.014186172,-0.8950187,-0.8969492,0.14687781,False,-0.7600182,0.26504916,0.86518896,-1.8718526,1.8718526
FGF8,5669,27.44231,27.439726,0.014902291,-0.36500967,-0.36717457,0.16716728,False,-1.5489608,0.0024296583,0.88065547,1.9155083,1.9155083
FGF9,5670,28.667313,28.647089,0.08536591,1.4229954,1.39524,2.1635802,False,-1.8428926,-2.0372322,0.8721827,-0.15925351,2.1635802
FGFBP1,5671,27.43299,27.42788,0.025018847,-0.37861484,-0.38446724,0.453795,False,-1.5085891,0.5781414,0.8745505,0.42056003,0.453795
FGFBP2,5672,27.386986,27.376686,0.04582524,-0.44576102,-0.45919514,1.0432928,False,0.9756952,1.3115921,0.8748949,0.5048939,1.0432928
FGFBP3,5673,27.706621,27.697508,0.041019805,0.020776642,0.009115467,0.90714264,False,-0.07376032,2.313398,0.87973243,1.6894796,1.6894796
FGFR1,5674,28.468601,28.472752,-0.0122562265,1.1329576,1.1407559,-0.60230243,False,-1.4436846,-1.7412833,0.8751768,0.57391685,1.1407559
FGFR1OP2,5675,28.515667,28.52537,-0.034507733,1.2016544,1.2175635,-1.2327441,False,-1.0438242,1.1960713,0.8743207,0.36427906,1.2327441
FGFR2,5676,28.173443,28.175295,-0.0029936344,0.7021464,0.70655173,-0.3398697,False,-0.5282388,-0.82275695,0.8777639,1.2074425,1.2074425
FGFR3,5677,27.437078,27.436913,0.0052145706,-0.37264606,-0.37128127,-0.107310414,False,0.22931476,-1.2435774,0.8709534,-0.46028948,0.46028948
FGFR4,5678,27.852528,27.857237,-0.014393332,0.23374072,0.24227542,-0.66285205,False,-0.79730517,0.13605525,0.87199545,-0.20511314,0.66285205
FGFRL1,5679,27.12529,27.114618,0.04735619,-0.82773054,-0.84174126,1.0866685,False,-1.2944614,-2.1742718,0.86947334,-0.8227149,1.0866685
FGG,5680,26.855478,26.848963,0.030748699,-1.2215458,-1.2295245,0.6161362,False,0.31812772,1.4268954,0.87007093,-0.67637855,1.2295245
